question_id,survey_name,column_name,question_text,import_id,option_text,option_count,observed_min,observed_max,scale_min,scale_max,response_range,n_responses,question_document,text_char_len,text_word_len,has_question_mark,has_percent_symbol,has_money_symbol,is_binary,is_wide_scale,is_continuousish,topic_risk,topic_future,topic_social,topic_money,topic_identity,topic_habit,topic_emotion,topic_politics,topic_environment,topic_probabilistic
survey_1::Empathy_10,survey_1,Empathy_10,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when my friends are scared.,QID232_10,Agree a little | Agree a little | Agree a little | Agree a little,4,2.0,5.0,2.0,5.0,3.0,233,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when my friends are scared. Agree a little | Agree a little | Agree a little | Agree a little Empathy_10,214,39,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
survey_1::Empathy_11,survey_1,Empathy_11,Please indicate your agreement with each of the following statements about yourself. - I often become sad when watching sad things on TV or in films.,QID232_11,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I often become sad when watching sad things on TV or in films. Agree a little | Agree a little | Agree a little | Agree a little | Agree a little Empathy_11,243,46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
survey_1::Empathy_12,survey_1,Empathy_12,Please indicate your agreement with each of the following statements about yourself. - I can often understand how people are feeling even before they tell me.,QID232_12,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I can often understand how people are feeling even before they tell me. Agree a little | Agree a little | Agree a little | Agree a little | Agree a little Empathy_12,252,46,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_13,survey_1,Empathy_13,Please indicate your agreement with each of the following statements about yourself. - Seeing a person who has been angered has no effect on my feelings.,QID232_13,Disagree a little | Disagree a little | Disagree a little | Disagree strongly | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - Seeing a person who has been angered has no effect on my feelings. Disagree a little | Disagree a little | Disagree a little | Disagree strongly | Disagree a little Empathy_13,262,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
survey_1::Empathy_14,survey_1,Empathy_14,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when people are cheerful.,QID232_14,Agree a little | Agree a little | Agree strongly | Agree a little | Agree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I can usually work out when people are cheerful. Agree a little | Agree a little | Agree strongly | Agree a little | Agree strongly Empathy_14,229,40,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
survey_1::Empathy_15,survey_1,Empathy_15,Please indicate your agreement with each of the following statements about yourself. - I tend to feel scared when I am with friends who are afraid.,QID232_15,Agree a little | Disagree a little | Neither agree nor disagree | Agree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I tend to feel scared when I am with friends who are afraid. Agree a little | Disagree a little | Neither agree nor disagree | Agree a little | Disagree a little Empathy_15,259,47,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_16,survey_1,Empathy_16,Please indicate your agreement with each of the following statements about yourself. - I can usually realize quickly when a friend is angry.,QID232_16,Agree strongly | Agree a little | Agree strongly | Agree strongly | Agree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I can usually realize quickly when a friend is angry. Agree strongly | Agree a little | Agree strongly | Agree strongly | Agree strongly Empathy_16,234,39,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
survey_1::Empathy_17,survey_1,Empathy_17,Please indicate your agreement with each of the following statements about yourself. - I often get swept up in my friends’ feelings.,QID232_17,Agree a little | Agree a little | Agree a little | Agree a little | Neither agree nor disagree,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I often get swept up in my friends’ feelings. Agree a little | Agree a little | Agree a little | Agree a little | Neither agree nor disagree Empathy_17,238,43,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_18,survey_1,Empathy_18,Please indicate your agreement with each of the following statements about yourself. - My friend’s unhappiness doesn’t make me feel anything.,QID232_18,Disagree strongly | Disagree strongly | Disagree strongly | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - My friend’s unhappiness doesn’t make me feel anything. Disagree strongly | Disagree strongly | Disagree strongly | Disagree a little | Disagree a little Empathy_18,250,38,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_19,survey_1,Empathy_19,Please indicate your agreement with each of the following statements about yourself. - I am not usually aware of my friends’ feelings.,QID232_19,Disagree strongly | Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I am not usually aware of my friends’ feelings. Disagree strongly | Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly Empathy_19,243,38,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
survey_1::Empathy_20,survey_1,Empathy_20,Please indicate your agreement with each of the following statements about yourself. - I have trouble figuring out when my friends are happy.,QID232_20,Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly | Disagree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Please indicate your agreement with each of the following statements about yourself. - I have trouble figuring out when my friends are happy. Disagree strongly | Disagree strongly | Disagree a little | Disagree strongly | Disagree strongly Empathy_20,250,39,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
survey_1::need for cognition_1,survey_1,need for cognition_1,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would prefer complex to simple problems,QID26_1,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would prefer complex to simple problems Agree a little | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_1,320,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_2,survey_1,need for cognition_2,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I like to have the responsibility of handling a situation that requires a lot of thinking,QID26_2,Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I like to have the responsibility of handling a situation that requires a lot of thinking Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_2,380,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_3,survey_1,need for cognition_3,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - Thinking is not my idea of fun,QID26_3,Disagree a little | Disagree a little | Disagree strongly | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - Thinking is not my idea of fun Disagree a little | Disagree a little | Disagree strongly | Disagree a little | Disagree a little need for cognition_3,324,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_4,survey_1,need for cognition_4,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would rather do something that requires little thought than something that is sure to challenge my thinking abilities,QID26_4,Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would rather do something that requires little thought than something that is sure to challenge my thinking abilities Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree a little need for cognition_4,413,73,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_5,survey_1,need for cognition_5,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something,QID26_5,Disagree a little | Disagree strongly | Agree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something Disagree a little | Disagree strongly | Agree a little | Disagree a little | Disagree a little need for cognition_5,406,74,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
survey_1::need for cognition_6,survey_1,need for cognition_6,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I find satisfaction in deliberating hard and for long hours,QID26_6,Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I find satisfaction in deliberating hard and for long hours Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_6,350,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_7,survey_1,need for cognition_7,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I only think as hard as I have to,QID26_7,Disagree a little | Disagree a little | Agree a little | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I only think as hard as I have to Disagree a little | Disagree a little | Agree a little | Disagree a little | Disagree a little need for cognition_7,324,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_8,survey_1,need for cognition_8,"Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I prefer to think about small, daily projects to long-term ones",QID26_8,Neither agree nor disagree | Neither agree nor disagree | Disagree a little | Neither agree nor disagree | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,"Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I prefer to think about small, daily projects to long-term ones Neither agree nor disagree | Neither agree nor disagree | Disagree a little | Neither agree nor disagree | Disagree a little need for cognition_8",384,68,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
survey_1::need for cognition_9,survey_1,need for cognition_9,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I like tasks that require little thought once I've learned them,QID26_9,Disagree a little | Disagree a little | Disagree a little | Agree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I like tasks that require little thought once I've learned them Disagree a little | Disagree a little | Disagree a little | Agree a little | Disagree a little need for cognition_9,354,65,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_10,survey_1,need for cognition_10,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - The idea of relying on thought to make my way to the top appeals to me,QID26_10,Agree a little | Agree a little | Agree strongly | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - The idea of relying on thought to make my way to the top appeals to me Agree a little | Agree a little | Agree strongly | Agree a little | Agree a little need for cognition_10,350,69,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_11,survey_1,need for cognition_11,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I really enjoy a task that involves coming up with new solutions to problems,QID26_11,Agree a little | Agree a little | Agree strongly | Agree strongly | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I really enjoy a task that involves coming up with new solutions to problems Agree a little | Agree a little | Agree strongly | Agree strongly | Agree a little need for cognition_11,356,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_12,survey_1,need for cognition_12,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - Learning new ways to think doesn't excite me very much,QID26_12,Disagree a little | Disagree strongly | Disagree strongly | Disagree a little | Disagree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - Learning new ways to think doesn't excite me very much Disagree a little | Disagree strongly | Disagree strongly | Disagree a little | Disagree a little need for cognition_12,349,62,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_13,survey_1,need for cognition_13,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I prefer my life to be filled with puzzles that I must solve,QID26_13,Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I prefer my life to be filled with puzzles that I must solve Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_13,352,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_14,survey_1,need for cognition_14,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - The notion of thinking abstractly appeals to me,QID26_14,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - The notion of thinking abstractly appeals to me Agree a little | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_14,327,62,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_15,survey_1,need for cognition_15,"Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require too much thought",QID26_15,Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,"Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require too much thought Neither agree nor disagree | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_15",432,79,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
survey_1::need for cognition_16,survey_1,need for cognition_16,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I feel relief rather than satisfaction after completing a task that requires a lot of mental effort,QID26_16,Agree a little | Disagree strongly | Disagree a little | Disagree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I feel relief rather than satisfaction after completing a task that requires a lot of mental effort Agree a little | Disagree strongly | Disagree a little | Disagree a little | Agree a little need for cognition_16,388,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
survey_1::need for cognition_17,survey_1,need for cognition_17,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - It's enough for me that something gets the job done; I don't care how or why it works,QID26_17,Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree strongly,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - It's enough for me that something gets the job done; I don't care how or why it works Disagree a little | Disagree a little | Disagree a little | Disagree a little | Disagree strongly need for cognition_17,380,71,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
survey_1::need for cognition_18,survey_1,need for cognition_18,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I usually end up deliberating about issues even when they do not affect me personally,QID26_18,Agree a little | Agree a little | Agree a little | Agree a little | Agree a little,5,1.0,5.0,1.0,5.0,4.0,233,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. - I usually end up deliberating about issues even when they do not affect me personally Agree a little | Agree a little | Agree a little | Agree a little | Agree a little need for cognition_18,365,69,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
